Week,Canada Goose: (United States)
2018-02-11,18
2018-02-18,15
2018-02-25,12
2018-03-04,14
2018-03-11,13
2018-03-18,14
2018-03-25,11
2018-04-01,10
2018-04-08,8
2018-04-15,6
2018-04-22,5
2018-04-29,4
2018-05-06,3
2018-05-13,4
2018-05-20,3
2018-05-27,4
2018-06-03,3
2018-06-10,5
2018-06-17,4
2018-06-24,4
2018-07-01,3
2018-07-08,4
2018-07-15,6
2018-07-22,6
2018-07-29,6
2018-08-05,8
2018-08-12,7
2018-08-19,9
2018-08-26,9
2018-09-02,10
2018-09-09,13
2018-09-16,12
2018-09-23,15
2018-09-30,14
2018-10-07,17
2018-10-14,31
2018-10-21,33
2018-10-28,27
2018-11-04,33
2018-11-11,69
2018-11-18,100
2018-11-25,70
2018-12-02,57
2018-12-09,66
2018-12-16,46
2018-12-23,49
2018-12-30,40
2019-01-06,39
2019-01-13,43
2019-01-20,57
2019-01-27,69
2019-02-03,28
2019-02-10,30
2019-02-17,24
2019-02-24,23
2019-03-03,22
2019-03-10,14
2019-03-17,11
2019-03-24,10
2019-03-31,8
2019-04-07,6
2019-04-14,6
2019-04-21,6
2019-04-28,6
2019-05-05,6
2019-05-12,5
2019-05-19,5
2019-05-26,7
2019-06-02,4
2019-06-09,4
2019-06-16,5
2019-06-23,4
2019-06-30,5
2019-07-07,5
2019-07-14,6
2019-07-21,6
2019-07-28,7
2019-08-04,7
2019-08-11,9
2019-08-18,10
2019-08-25,10
2019-09-01,11
2019-09-08,11
2019-09-15,13
2019-09-22,12
2019-09-29,16
2019-10-06,21
2019-10-13,25
2019-10-20,23
2019-10-27,28
2019-11-03,46
2019-11-10,69
2019-11-17,53
2019-11-24,61
2019-12-01,61
2019-12-08,45
2019-12-15,51
2019-12-22,51
2019-12-29,32
2020-01-05,26
2020-01-12,22
2020-01-19,30
2020-01-26,19
2020-02-02,18
2020-02-09,19
2020-02-16,18
2020-02-23,13
2020-03-01,11
2020-03-08,7
2020-03-15,7
2020-03-22,6
2020-03-29,5
2020-04-05,6
2020-04-12,6
2020-04-19,6
2020-04-26,5
2020-05-03,5
2020-05-10,5
2020-05-17,5
2020-05-24,4
2020-05-31,4
2020-06-07,4
2020-06-14,4
2020-06-21,4
2020-06-28,4
2020-07-05,5
2020-07-12,5
2020-07-19,5
2020-07-26,5
2020-08-02,6
2020-08-09,8
2020-08-16,8
2020-08-23,7
2020-08-30,8
2020-09-06,10
2020-09-13,13
2020-09-20,13
2020-09-27,14
2020-10-04,15
2020-10-11,16
2020-10-18,20
2020-10-25,25
2020-11-01,20
2020-11-08,19
2020-11-15,29
2020-11-22,34
2020-11-29,32
2020-12-06,33
2020-12-13,33
2020-12-20,36
2020-12-27,31
2021-01-03,23
2021-01-10,19
2021-01-17,17
2021-01-24,22
2021-01-31,23
2021-02-07,19
2021-02-14,17
2021-02-21,12
2021-02-28,10
2021-03-07,8
2021-03-14,7
2021-03-21,6
2021-03-28,5
2021-04-04,5
2021-04-11,5
2021-04-18,5
2021-04-25,5
2021-05-02,4
2021-05-09,4
2021-05-16,4
2021-05-23,4
2021-05-30,4
2021-06-06,4
2021-06-13,4
2021-06-20,6
2021-06-27,5
2021-07-04,4
2021-07-11,6
2021-07-18,5
2021-07-25,6
2021-08-01,6
2021-08-08,6
2021-08-15,8
2021-08-22,8
2021-08-29,9
2021-09-05,11
2021-09-12,10
2021-09-19,12
2021-09-26,13
2021-10-03,14
2021-10-10,15
2021-10-17,18
2021-10-24,25
2021-10-31,33
2021-11-07,30
2021-11-14,40
2021-11-21,56
2021-11-28,52
2021-12-05,42
2021-12-12,34
2021-12-19,40
2021-12-26,36
2022-01-02,37
2022-01-09,34
2022-01-16,31
2022-01-23,28
2022-01-30,26
2022-02-06,21
2022-02-13,16
2022-02-20,15
2022-02-27,12
2022-03-06,10
2022-03-13,8
2022-03-20,6
2022-03-27,7
2022-04-03,6
2022-04-10,6
2022-04-17,6
2022-04-24,5
2022-05-01,5
2022-05-08,5
2022-05-15,5
2022-05-22,4
2022-05-29,4
2022-06-05,4
2022-06-12,3
2022-06-19,3
2022-06-26,4
2022-07-03,4
2022-07-10,5
2022-07-17,5
2022-07-24,6
2022-07-31,6
2022-08-07,7
2022-08-14,8
2022-08-21,7
2022-08-28,8
2022-09-04,10
2022-09-11,11
2022-09-18,12
2022-09-25,15
2022-10-02,20
2022-10-09,18
2022-10-16,22
2022-10-23,18
2022-10-30,15
2022-11-06,19
2022-11-13,44
2022-11-20,52
2022-11-27,35
2022-12-04,32
2022-12-11,39
2022-12-18,52
2022-12-25,50
2023-01-01,21
2023-01-08,20
2023-01-15,19
2023-01-22,20
2023-01-29,21
